"","decile","count","avg_pre_spent","avg_actual_spend"
"1",10,333,798.463233001311,902.159579579579
"2",9,333,614.641218303911,665.578888888889
"3",8,333,530.194521245514,557.401201201202
"4",7,333,470.287346833398,522.24975975976
"5",6,333,421.257732259684,471.35021021021
"6",5,333,383.1501060005,434.147687687688
"7",4,333,351.711806690628,385.447417417417
"8",3,333,320.607576052847,357.539129129129
"9",2,333,288.963255932482,329.405975975976
"10",1,333,240.617811130433,273.092792792793
